,Fake_ID,STATUS_DESC,PROGRAM_DESC,MAJOR_DESC,SECOND_MAJOR_DESC,OUTCOME_NUMBER,OUTCOME_AWARDED_IND,CREDITS_ATTEMPTED,CREDITS_EARNED,GPA,CITIZENSHIP_DESC,RELIGION_DESC,VETERAN_CATEGORY_DESC,GENDER,PRIMARY_ETHNICITY_DESC,MARITAL_STATUS_DESC,CITY,COUNTY_DESC,STATE_PROVINCE,POSTAL_CODE,NATION,PASSPORT_ISSUE_NATION_DESC,IMMIGRATION_STATUS,NATION_OF_BIRTH_DESC,NATION_OF_CITIZENSHIP_DESC,VISA_TYPE_DESC,GPS_Start_Term_,GPS_Last_Term_,Took_Non_GPS_Course_Within_Year?,Retained?
0,497255,Awarded,MS - Software Engineering,Software Management,,1,A,42.0,42.0,3.8,U.S. Citizen,Decline to Respond,,F,White,Married,Saint Paul,RAMSEY-MN,MN,55116,US,,,,,,201340,201620,0,1
1,532137,Sought/Tracked,MS - Software Engineering,Data Science,,2,,9.0,9.0,3.8,U.S. Citizen,Decline to Respond,,M,Asian,Married,Brooklyn Park,HENNEPIN-MN,MN,55445,US,,,,United States of America,,201620,201720,0,0
2,556634,Sought/Tracked,MS - Software Engineering,Software Engineering,,1,,0.0,0.0,0.0,Non-Immigrant Visa Holder,Decline to Respond,,M,Asian,Single,Lakeville,DAKOTA-MN,MN,55044,US,India,NRA,India,India,Academic Student,201620,201620,0,0
3,402342,Awarded,MS - Software Engineering,Information Technology,,2,A,36.0,36.0,2.925,Non-Immigrant Visa Holder,No Religious Affiliation,,F,Asian,Single,Hopkins,HENNEPIN-MN,MN,55343,US,China,NRA,China,China,,201540,201720,0,1
4,526883,Awarded,MS - Software Engineering,Data Science,,1,A,36.0,36.0,3.975,U.S. Citizen,Roman Catholic,,M,White,Married,Rochester,OLMSTED-MN,MN,55901,US,,,,United States of America,,201440,201740,0,1
5,463326,Awarded,MSS - Software Engineering,Software Systems,,1,A,30.0,30.0,3.51,U.S. Citizen,Decline to Respond,,M,Black or African American,Married,Sugar Land,FORT BEND-TX,TX,77479-5263,US,,,,,,201130,201320,0,1
6,443127,Awarded,MSS - Software Engineering,Software Systems,,1,A,30.0,30.0,3.94,Non-Immigrant Visa Holder,Hindu,,F,Asian,Married,Acworth,CHEROKEE-GA,GA,30102-3729,US,India,NRA,India,India,F1 Pending,201040,201320,0,1
7,284249,Sought/Tracked,MS - Software Engineering,Software Management,,1,,18.0,18.0,2.666666666666,U.S. Citizen,Decline to Respond,,M,Black or African American,Married,Bloomington,HENNEPIN-MN,MN,55438,US,,,,,,201040,201220,0,0
8,147352,Awarded,MS - Software Engineering,Software Engineering,,3,A,3.0,3.0,3.7,U.S. Citizen,Roman Catholic,,M,White,Married,Burnsville,DAKOTA-MN,MN,55337-3924,US,,,,,,201140,201140,0,1
9,444345,Awarded,MS - Software Engineering,Software Engineering,,1,A,42.0,42.0,3.242857142857,Permanent Resident,Hindu,,M,Asian,Married,Suwanee,GWINNETT-GA,GA,30024-8586,US,,,,India,Legal Permanent Resident,201040,201220,0,1
