,Fake_ID,STATUS_DESC,PROGRAM_DESC,MAJOR_DESC,SECOND_MAJOR_DESC,OUTCOME_NUMBER,OUTCOME_AWARDED_IND,CREDITS_ATTEMPTED,CREDITS_EARNED,GPA,CITIZENSHIP_DESC,RELIGION_DESC,VETERAN_CATEGORY_DESC,GENDER,PRIMARY_ETHNICITY_DESC,MARITAL_STATUS_DESC,CITY,COUNTY_DESC,STATE_PROVINCE,POSTAL_CODE,NATION,PASSPORT_ISSUE_NATION_DESC,IMMIGRATION_STATUS,NATION_OF_BIRTH_DESC,NATION_OF_CITIZENSHIP_DESC,VISA_TYPE_DESC,GPS_Start_Term_,GPS_Last_Term_,Took_Non_GPS_Course_Within_Year?,Retained?,HasCIS,HasMathStats,CLEANED_PREVIOUS_GPA
0,159003,Awarded,MSS - Software Engineering,Software Systems,,2,A,27.0,27.0,3.966666666666,U.S. Citizen,Decline to Respond,,M,Declined,Married,Stillwater,WASHINGTON-MN,MN,55082-4291,US,,,,,,201220,201620,0,1,1,0,3.043
1,557128,Awarded,MS - Software Engineering,Information Technology,,1,A,36.0,36.0,3.383333333333,U.S. Citizen,Muslim,,M,Black or African American,Single,Saint Louis Park,HENNEPIN-MN,MN,55426,US,,,,United States of America,,201520,201720,0,1,0,0,3.160666666666
2,509389,Awarded,MS - Software Engineering,Data Science,,1,A,39.0,39.0,3.776923076923,Permanent Resident,Roman Catholic,,F,Black or African American,Single,Saint Paul,RAMSEY-MN,MN,55116,US,,,,Togo,Legal Permanent Resident,201340,201620,0,1,0,0,3.913333333333
3,404397,Sought/Tracked,MS - Software Engineering,Data Science,,1,,39.0,36.0,2.433333333333,U.S. Citizen,Other Christian,,M,Asian,Single,Ramsey,ANOKA-MN,MN,55303,US,,,,Liberia,US Citizen,201140,201720,0,0,0,0,2.53
4,540994,Awarded,MS - Software Engineering,Data Science,,1,A,36.0,36.0,3.808333333333,Non-Immigrant Visa Holder,Chinese Religions,,F,Asian,Married,Shoreline,KING-WA,WA,98155,US,China,NRA,China,China,,201540,201730,0,1,0,0,3.113851933216
5,513192,Sought/Tracked,MS - Software Engineering,Software Engineering,,1,,3.0,3.0,3.7,U.S. Citizen,No Religious Affiliation,,F,White,Single,Minneapolis,HENNEPIN-MN,MN,55412,US,,,,,,201340,201340,0,0,0,0,3.246
6,538808,Awarded,MS - Software Engineering,Information Technology,,1,A,36.0,36.0,3.466666666666,Non-Immigrant Visa Holder,Hindu,,M,Asian,Single,Minneapolis,HENNEPIN-MN,MN,55404,US,India,NRA,India,India,,201440,201630,0,1,0,0,3.113851933216
7,543534,Awarded,MS - Software Engineering,Information Technology,,1,A,36.0,36.0,3.95,Non-Immigrant Visa Holder,Decline to Respond,,F,Declined,Married,Austin,TRAVIS-TX,TX,78727,US,India,NRA,India,India,,201520,201620,0,1,0,0,3.113851933216
8,540357,Awarded,MS - Software Engineering,Information Technology,,1,A,36.0,36.0,3.325,Non-Immigrant Visa Holder,Hindu,,M,Race/Ethnicity Unknown,Single,Eagan,DAKOTA-MN,MN,55123,US,India,NRA,India,India,,201520,201640,0,1,1,0,3.113851933216
9,459409,Awarded,MSS - Software Engineering,Software Systems,,1,A,33.0,33.0,2.736363636363,U.S. Citizen,Roman Catholic,,M,Black or African American,Married,Minneapolis,HENNEPIN-MN,MN,55430,US,,,,,,201130,201630,0,1,1,0,3.1015
10,538987,Pending,MS - Software Engineering,Data Science,,1,P,39.0,33.0,3.136363636363,U.S. Citizen,No Religious Affiliation,,M,White,Married,Golden Valley,HENNEPIN-MN,MN,55422,US,,,,United States of America,,201440,201820,0,1,0,0,3.145
11,491509,Awarded,MSS - Software Engineering,Software Systems,,2,A,30.0,30.0,3.5,U.S. Citizen,Decline to Respond,,M,Asian,Unknown,Minneapolis,HENNEPIN-MN,MN,55404-2725,US,,,,,,201240,201440,0,1,1,1,2.65
12,401885,Sought/Tracked,MS - Software Engineering,Data Science,,1,,42.0,42.0,3.114285714285,U.S. Citizen,Buddhist,,F,Asian,Single,Brooklyn Park,HENNEPIN-MN,MN,55445-2666,US,,,,United States of America,,201420,201820,1,1,0,0,2.214666666666
13,356674,Sought/Tracked,MS - Software Engineering,Data Science,,1,,3.0,0.0,0.0,U.S. Citizen,Roman Catholic,,M,White,Single,Minneapolis,HENNEPIN-MN,MN,55408-4892,US,,,,United States of America,,201530,201530,0,0,0,0,2.917
14,476966,Sought/Tracked,MS - Software Engineering,Data Science,,2,,6.0,6.0,3.7,U.S. Citizen,Roman Catholic,,F,White,Single,Lake Elmo,WASHINGTON-MN,MN,55042-8258,US,,,,United States of America,,201540,201540,0,0,0,0,3.113851933216
15,478219,Awarded,MS - Software Engineering,Software Management,,1,A,48.0,42.0,3.107142857142,Non-Immigrant Visa Holder,Muslim,,M,White,Single,Saint Paul,RAMSEY-MN,MN,55116-3293,US,Saudi Arabia,NRA,Saudi Arabia,Saudi Arabia,,201230,201420,0,1,1,0,2.913714285714
16,479894,Sought/Tracked,MS - Software Engineering,Software Management,,1,,0.0,0.0,0.0,U.S. Citizen,Roman Catholic,,F,White,Married,Eau Claire,EAU CLAIRE-WI,WI,54703,US,,,,,,201140,201140,0,0,0,0,3.61
17,571034,Sought/Tracked,MS - Software Engineering,Software Engineering,,1,,9.0,9.0,3.8,U.S. Citizen,Muslim,,M,Black or African American,Married,Bloomington,HENNEPIN-MN,MN,55431,US,,,,United States of America,,201540,201620,0,0,1,0,2.66
18,458370,Awarded,MS - Software Engineering,Software Engineering,,1,A,42.0,42.0,3.285714285714,Non-Immigrant Visa Holder,Muslim,,M,White,Single,Saint Paul,RAMSEY-MN,MN,55104,US,Saudi Arabia,NRA,Saudi Arabia,Saudi Arabia,Academic Student,201120,201320,1,1,1,0,3.1
19,241365,Awarded,MS - Software Engineering,Software Management,,2,A,27.0,24.0,3.325,U.S. Citizen,Decline to Respond,,F,Two or More Races,Married,Brooklyn Park,HENNEPIN-MN,MN,55445,US,,,,,,201440,201720,0,1,0,0,2.742
20,538988,Sought/Tracked,MS - Software Engineering,Data Science,,1,,24.0,24.0,3.8375,U.S. Citizen,Other Christian,,F,White,Married,Maple Grove,HENNEPIN-MN,MN,55311,US,,,,United States of America,,201440,201820,0,1,0,0,3.5925
21,481648,Pending,MS - Software Engineering,Data Science,,1,P,33.0,33.0,3.281818181818,U.S. Citizen,Decline to Respond,,M,White,Single,Hugo,WASHINGTON-MN,MN,55038,US,,,,,,201420,201820,0,1,1,0,2.91
22,570909,Sought/Tracked,MS - Software Engineering,Data Science,,1,,18.0,18.0,3.55,U.S. Citizen,Decline to Respond,,M,White,Single,Chaska,CARVER-MN,MN,55318,US,,,,United States of America,,201540,201820,0,1,1,0,3.415
23,206565,Awarded,MS - Software Engineering,Software Engineering,,2,A,30.0,30.0,3.77,U.S. Citizen,Lutheran (non-ELCA),,M,White,Single,Saint Paul,RAMSEY-MN,MN,55116-1638,US,,,,,,201220,201640,0,1,1,0,3.113851933216
24,563387,Sought/Tracked,MS - Software Engineering,Data Science,,1,,9.0,6.0,2.433333333333,U.S. Citizen,Decline to Respond,,F,Asian,Single,Minneapolis,HENNEPIN-MN,MN,55405,US,,,,United States of America,,201530,201540,0,0,0,0,2.883666666666
25,505327,Awarded,MS - Software Engineering,Information Technology,,1,A,36.0,36.0,3.533333333333,U.S. Citizen,Decline to Respond,,M,White,Single,Minneapolis,HENNEPIN-MN,MN,55417-1724,US,,,,,,201340,201620,0,1,0,1,2.501
